Date,HDFCBANK.NS,INFY.NS,ITC.NS,RELIANCE.NS,TMPV.NS
2021-08-03,0.008434353396279508,0.01439128629518421,0.012464091188525782,0.007331241431926968,0.02281342417369665
2021-08-04,0.02110421414706806,-0.0036011837229341184,-0.006212765873843362,0.007634618106786108,-0.018443745062021902
2021-08-05,0.013253729571229974,0.00260389264250476,0.0313816962091546,0.014393733883494676,0.005185402466830864
2021-08-06,0.005239463654359985,-0.0020279759269603926,-0.0046563685815499975,-0.02140578773339066,0.0011669159434243804
2021-08-09,0.007508661866589196,0.007907122230601879,-0.0021028230241815944,-0.005712705391721704,-0.006520014228087595
2021-08-10,0.0024903527669080396,0.008351853433908247,-0.018647872343051937,0.005233814427433699,-0.013169175943690924
2021-08-11,-0.008459397354390701,0.0001788898232712972,-0.005734978920565002,0.013911091993312419,0.004239752612178298
2021-08-12,0.004305241402928022,0.00715734963654818,0.001197591482679914,-0.003216733880946051,0.035085557944317516
2021-08-13,0.016382971314165804,0.01328726675250918,0.012132883642247594,0.016517565656982366,0.004076591602928211
2021-08-16,0.002878861048252308,-0.0045658643312483935,-0.0026044469056849795,0.01289624089092361,-0.011621285335878858
2021-08-17,-0.010475379905567636,0.021619715656602236,-0.008093439889625681,-0.004264852138088893,-0.01995412599609187
2021-08-18,-0.0010899554614422994,-0.0047192122772893585,-0.0011956876590675527,0.0038738573900800053,-0.01471974769345049
2021-08-20,0.0011559230099105456,-0.0002886047597283039,-0.0002393091878693275,-0.011294136489583027,-0.035566215888783455
2021-08-23,0.006481704501535738,0.0033413833465826943,-0.01252422519248912,0.0065420008122396706,-0.02196328073225779
2021-08-24,0.022216263730660754,-0.010348058879207308,-0.002669550159267544,0.009825094779998421,0.010237926344396719
2021-08-25,-0.0009307082681438261,0.008505881661034232,0.003154141115765125,0.00861776578053676,0.016306670181460856
2021-08-26,-0.0016706147398143879,-0.004533257061583552,-0.0087590545358055,0.012564823395537226,-0.00035174947251867663
2021-08-27,-0.004092620833488287,-0.010999541068152829,0.006333559813478811,-0.0013683214250833956,0.005087365319411598
2021-08-30,0.012705930740568899,-0.006310973612286924,0.010147648428873708,0.01905491169758482,0.02146530569271087
2021-08-31,0.008350298820540092,0.004934732897038855,0.01574075792569192,-0.005343983680830119,-0.01605560149794776
2021-09-01,-0.0014556377361012163,-0.016961603700446446,-0.00855524746701538,0.00395556193339539,0.02729550380825279
2021-09-02,0.006249994096112156,0.006742205308421813,0.001192642919340606,0.011969856259118433,-0.007138071767553375
2021-09-03,-0.00818330376293199,0.006814825961387716,0.004044250448110564,0.04019423376954177,0.00815352851339017
2021-09-06,-0.006588738220708433,0.017341863718930848,-0.006191866227837254,0.015413444703786838,0.006408233094669212
2021-09-07,0.0022648326509256303,-0.0138201780169598,0.011637621744596935,0.006287835650889354,-0.009627602607120913
2021-09-08,0.00454602804194257,-0.007882535514196473,-0.002364048774664678,-0.003920231715310001,0.0022039127666148317
2021-09-09,-0.004960329935262005,-0.0009750350738314725,0.0066055043127414646,-0.0023676039355792745,0.012453939552309156
2021-09-13,-0.008354322165889412,0.00017737242394102337,0.007028845396410368,-0.022535289084765823,0.0074980385437966425
2021-09-14,-0.004510140652171501,-0.0034043101600189766,0.009064588115057963,-0.0013081376304733285,0.016137372415667726
2021-09-15,-0.0011307628509635871,0.014893167336045466,-0.0004628342815706693,0.0041503857979211505,0.018931049231899404
2021-09-16,0.008465439351715997,-0.005390053618998443,0.06605651264729907,0.020764278893649044,-0.0009621463928988292
2021-09-17,0.014131047534949391,-0.006453497003826948,0.0017320640674393462,-0.015626785319590848,-0.00983491786173761
2021-09-20,-0.01419510359656886,-0.002042036180222088,0.011185129939495454,0.0015882004731905025,-0.031769395936727285
2021-09-21,-0.005077557664838988,0.017967176921509183,0.032617577753641686,0.004313513238381279,0.009985115993745942
2021-09-22,-0.01182905028545162,-0.0009023614796201486,0.008247323936172748,0.010671860462748073,0.026633323796729037
2021-09-23,0.023392611634258726,0.014829386896002494,-0.004115279567906632,0.02414554759612099,0.036102776577864995
2021-09-24,0.019896293562153604,0.0121493101967192,-0.016841924490816423,-0.002895959742841086,-0.011103416107478161
2021-09-27,0.014597478524103926,-0.024506264462166357,0.0010476772871389354,0.016676522205566778,0.042185891338318494
2021-09-28,-0.006203449784028608,-0.019981594887870997,-0.003987564528407454,0.009305232771754487,-0.007110956724832383
2021-09-29,-0.013213498141999317,0.0030479021641046143,0.0014709832924107906,-0.00795920759387627,0.0028808064290393926
2021-09-30,0.0006899427076379921,-0.010126454705338513,-0.008223581690018817,-0.0034080494917180537,0.009343021717531902
2021-10-01,-0.007710208691379527,-0.0060172829882533495,-0.003393681480263983,0.0017649634417260232,-0.00014998669319108871
2021-10-04,0.0019252766316254003,0.008134167891502736,0.00529726596848833,0.012776210187452662,0.025767698244169752
2021-10-05,0.006098288461801063,0.00833458987028125,-0.008062802342581577,0.020541377134330154,0.008588859570377715
2021-10-06,0.012117230126792524,-0.011436937211788503,-0.014808785914119351,-0.019094947401961715,-0.026139676388652052
2021-10-07,-0.0027282133983291624,0.01037304550396101,0.007324704782949745,0.004890619585818618,0.11365827770418463
2021-10-08,-0.004886301141359526,0.019239930346010754,-0.005380572790121362,0.03770726165009054,0.016986349463217386
2021-10-11,0.019250197748087564,-0.01926943689294374,0.02703711979787869,-0.006987626038436169,0.08217952445179383
2021-10-12,-0.0025740500892975785,-0.0034360000955878382,0.013560415121054646,0.0056951144286266474,0.012192469335677253
2021-10-13,0.005995709877103948,0.014170768923394025,0.03221481515245081,0.010125515277584865,0.18603718171064626
2021-10-14,0.028858520110746674,0.0038250175272371086,0.029067891154916575,0.0020202435788373527,-0.018517094530565017
2021-10-18,-0.010185670950685908,0.04356566920040261,0.023117855425432016,0.0026627051832232773,0.02382952735471968
2021-10-19,0.010955800533719227,0.016601089738931055,-0.06531328506535841,0.008916514868636186,-0.05588950926077685
2021-10-20,-0.008832571189822653,-0.010925820589389951,0.0026393619165504993,-0.011579220051859563,0.01032213009035533
2021-10-21,0.0014626345568541693,-0.027391973487507566,-0.007734575224783222,-0.029271887316906116,0.042422710681098756
2021-10-22,0.0026510660059929315,-0.01949124475345918,-0.03366214201426886,0.001866858131719108,-0.034241065753076644
2021-10-25,-0.014231324835872163,-0.007148423303113544,-0.013617175052512214,-0.009791377735193701,-0.022662632909809036
2021-10-26,-0.0025682717877755362,0.006565976425345331,0.014039884116154745,0.022517423762941465,0.058182386187824536
2021-10-27,-0.006038446602543729,0.014711886848256136,0.0073661920870099935,-0.012726046027747863,-0.021360902707253153
2021-10-28,-0.030406431274283652,-0.014594473474526052,-0.05761505245851777,-0.01102195180623425,-0.034428028894722434
2021-10-29,-0.006768582515523522,-0.021444297551283752,-0.008476468227564973,-0.02428607423833814,0.005493754499283147
2021-11-01,0.014083563066245593,0.019182236986064794,0.016220794261100666,0.0006109548502560397,0.004126252442573891
2021-11-02,0.000902868447228834,-0.0012654513722188826,-0.005525657546814661,-0.014687071315117747,0.004416780287098946
2021-11-03,-0.015871429277118935,0.002705491868706501,-0.014061027006178405,-0.0069015362750448435,-0.006065316232862435
2021-11-04,0.007873093139926436,0.00363508145352405,0.018263240242256867,0.0061214915362893365,0.009850311560506333
2021-11-08,0.0039446442575734085,0.01671458687694347,0.014243710828695988,0.0012398081491811913,0.02361125948433468
2021-11-09,-0.017652114348803004,0.0028734692949053515,-0.004579701737235033,0.007862903357803463,0.016320032188665783
2021-11-10,-0.010871419084061808,-0.0013495581240886472,0.009138525385563553,0.011120805621133368,0.0021559570532568764
2021-11-11,-0.004478659912673034,-0.003944134887295488,-0.0036889206179988366,0.0018220550305496318,-0.01439580030823849
2021-11-12,0.0030308675720904406,0.026698574708511807,0.012529871295385683,0.014977965629476338,0.0071250877280640695
2021-11-15,0.0027329243004611484,0.0038964726636106636,0.02208178163244889,-0.005917785847700031,-0.0031603227461765265
2021-11-16,-0.005957755590822389,0.0028775439122660034,-0.01119239174594501,-0.023511080397631463,0.02655095115458984
2021-11-17,-0.01117312259603382,-0.002709807374206699,0.01705486292871879,-0.021639133959418567,0.021159810961790173
2021-11-18,0.005602335525826373,-0.004513651691369483,-0.008385727963559032,0.0037671555417819525,-0.03933759327205296
2021-11-22,-0.015746416073219513,-0.011303323163519258,-0.028182918210392403,-0.04530397724093277,-0.04740797233482683
2021-11-23,0.00013204195062531006,-0.012871053152447335,0.003026972226859066,0.009306146938326685,0.01915298144729895
2021-11-24,0.0016481956852503735,-0.023829376505540747,-0.016982741761196365,-0.01454467858552034,-0.013920939415093451
2021-11-25,0.005190480323821762,0.0154460865166113,0.015686709423383526,0.05845591529617414,0.008355467112274912
2021-11-26,-0.023908146061590033,-0.018014211650083847,-0.032069640288602874,-0.03276164542794792,-0.06834069278005797
2021-11-29,0.007589116974948106,0.0027745222151609166,-0.011223374489690524,0.011907514216371625,0.00271249153563709
2021-11-30,-0.005142292149838825,0.009562968798864528,-0.0015814866255372464,-0.014896287460440326,-0.006195311715128415
2021-12-01,0.007404460465974008,0.001312888052265366,0.00338564301950559,0.025286548969597106,0.035662581301505264
2021-12-02,0.013925718790403453,0.019260493218675935,0.015871615582703304,0.006404331025142873,0.008068364205831282
2021-12-03,-0.008027963105698721,-0.007290949778480554,-0.016998831828623814,-0.03050690012238313,0.0020850958070693206
2021-12-06,-0.006462731444149219,-0.02346455548787462,-0.017063317675649153,-0.019137595524779342,-0.027236995195192404
2021-12-07,0.014458034615342676,0.009598082494503031,0.012541352089644155,0.008114750429406336,0.030771593650648636
2021-12-08,0.018250214996235446,0.02407037702666865,0.019300479092267054,0.015104667357069553,0.024803983737097024
2021-12-09,-0.017496828642942514,0.005743856245284632,0.045408197141115395,0.015735094965339546,0.00010134527296706655
2021-12-10,-0.0028201409801565736,-0.0023844877695189293,0.002969028794626844,0.001017237747926209,0.0010116845313819813
2021-12-13,-0.007515696372549634,-0.00833367462949953,-0.006373458645449818,-0.02025292453911359,0.0018185960393555024
2021-12-14,-0.005773871284663691,0.0042896588158636735,-0.025908066264200565,-0.012318002889131503,-0.01208439342642502
2021-12-15,-0.001631928917056921,-0.010297360820060017,-0.02010451470675285,-0.0029241862639756357,0.00458685539911146
2021-12-16,6.661181195117284e-05,0.021337023813148785,-0.0051460211347527235,0.01285301429390846,0.0006099984064987591
2021-12-17,-0.018196716668482958,0.02742007438555634,-0.02245765923827015,-0.02674899933097864,-0.04521888509778369
2021-12-20,-0.03270715173789611,-0.012127953611311873,-0.025794269068378072,-0.027330829031688673,-0.05048782459694965
2021-12-21,0.01126450546827536,0.007034939301607557,0.00047067705664308537,0.014775983203669362,0.014545392525662625
2021-12-22,0.002355334979409536,0.007205314665283646,-0.0023557866054615658,0.023454395623805233,0.03658024901547724
2021-12-23,-0.0007613707315746432,0.017869734185207202,0.024692637115034822,-0.0003591052121150091,0.003924229457092386
2021-12-24,-0.0036073142918736254,0.0031710619642133235,0.0032162038354066557,0.00318699125611346,-0.010106923132618857
2021-12-27,0.008236192627499625,0.0014210945652264693,-0.002066257270947276,-0.0010753400426484116,0.007563158815832289
2021-12-28,0.006869054915157947,0.011640542282925676,0.011426082187811607,0.011806296112010778,0.0190262443981319
2021-12-29,-0.004769014717663383,-0.0012985351925844262,-0.01511027163517888,0.0017082106256106479,-0.008784878672142163
2021-12-30,0.005248068275566318,0.003863989828731311,-0.003466225671599001,-0.018229764363285078,-0.011834502302646615
2021-12-31,0.012173264352277025,-0.002697837447841444,0.009446082082274578,0.003828954969877826,0.025190278314457665
2022-01-03,0.02684347838296673,0.0056520344067751815,0.004803805604188625,0.01496246419930155,0.03102294810633935
2022-01-04,0.005839624945883505,0.0003687440312932378,0.005235038795827852,0.022317188745490973,-0.016207806935262182
2022-01-05,0.02347033742677505,-0.02911692824951949,0.0013611861697055377,0.004667337275073033,0.00030629078519141305
2022-01-06,-0.01616991312337214,-0.014662522500842958,-0.008423458631269086,-0.02173597023735866,-0.0018393457395854068
2022-01-07,0.0069895257206776884,-0.0019271959405209303,-0.0013727083987280693,0.00803725759381882,0.00357341525716385
